Municipality,CaCO3_mean,CN_mean,N_mean,P_mean,pH_mean
Évora,11.156006594222056,11.309096909418852,1.482780209675397,18.367847932625985,6.096657832125007
Alandroal,16.432845967711735,10.94101708262844,1.729694043439129,9.67401714773115,6.08900124149524
Arraiolos,8.331088912117938,11.672755611602671,1.398242474064176,15.007508967453235,5.990712078207094
Borba,43.0195125552865,11.198195920863622,1.681893487001809,10.459600385121057,6.477991676666368
Estremoz,25.28046651241339,11.820408503369814,1.676325017030378,9.686767421204198,6.164189598417073
Montemor-o-Novo,9.301147976362126,12.496933011545414,1.388400476690833,12.58910683128921,5.92474975818541
Mora,22.309046251325118,11.879219402847118,1.271361204288883,8.455095149429502,6.030476877436412
Mourão,23.53497542621418,10.457434584467586,1.552775682264691,12.755901622480422,6.458545247844868
Portel,5.65508617661219,11.559003281330167,1.852346072291696,8.001610037010517,6.03236147983711
Redondo,17.825155978943286,11.206318498637579,1.585229248624958,13.058583624523184,6.147678709356752
Reguengos de Monsaraz,23.78942810172502,10.45593734708567,1.549640568515199,9.93542828971479,6.433125166846371
Vendas Novas,14.573434321441292,12.853137081542064,1.171217635188978,7.950577362968311,6.049780454168026
Viana do Alentejo,4.720305526230891,11.527802938681383,1.591662930296017,13.880272123141166,6.009242468002515
Vila Viçosa,34.78943365770966,11.486170794547652,1.932144451286538,10.399658726332948,6.10145609369136
Águeda,10.376625732721068,17.2120051435403,2.195292839674259,16.533553980928033,5.435836170781375
Ílhavo,25.371941092075794,15.38119991814218,0.853601930950715,28.9922549046152,5.753635776721366
Albergaria-a-Velha,7.742643002596901,16.751247611364764,2.155456439997594,20.353477993709618,5.214720346410356
Anadia,26.4322743143268,16.278758656504003,1.516259149798744,17.537999305813038,5.635632877327519
Arouca,10.763684063781858,17.127012420932573,2.339650504268411,17.50540696116204,5.273842055022173
Aveiro,29.566396491373318,15.417751130282669,1.233472333042866,29.6023793739185,5.698506861609199
Castelo de Paiva,8.880384107174628,17.41730977387706,2.35131404031018,13.032743324346072,5.243988307602202
Espinho,37.55457333334978,14.587840259939,2.080509700636933,26.12203311920166,5.648394867993783
Estarreja,17.355291175421545,14.939854532129624,1.828631117484149,31.563945792703066,5.22747319726383
Mealhada,32.74384289969303,16.49084423666131,1.508632489399279,16.693200030147214,5.633814230357131
Murtosa,15.264492343642754,15.302172206970582,1.531554131981838,33.02776492569975,5.268488102648631
Oliveira de Azeméis,10.724291015915254,16.602278917980648,2.226951253867565,21.33710831979942,5.15229591136878
Oliveira do Bairro,19.019181959648083,15.1040503029403,1.169706515718738,28.13043373768815,5.792175104552852
Ovar,19.975666578547468,16.564741843553552,1.577870349580344,26.81897838849985,5.217470036713343
São João da Madeira,60.44914655332212,14.461116437558774,1.77118052818157,23.160856317590785,5.828012996249729
Santa Maria da Feira,22.137715145194154,16.21317577130305,2.246073976756591,21.696097323700407,5.262270613979743
Sever do Vouga,3.395585948177551,17.310987662174963,2.263415554969306,18.758838151740072,5.121201941889513
Vagos,4.442427769963794,16.51818725146921,0.802771360052874,25.71562709185421,5.333935042747628
Vale de Cambra,6.642264739883982,16.962684210072393,2.186202188989391,22.590664150818533,5.124671291683031
Aljustrel,36.102546531700774,10.737707729425226,1.483171942592604,13.904942058954978,6.251886072383585
Almodôvar,8.599425958359447,11.555368048705168,1.745557800199972,6.253719229480594,5.924561231260266
Alvito,11.219598016692597,11.065606580197233,1.56414140844808,14.652648396515152,6.156148098973395
Barrancos,19.10954388516239,11.78376892270957,2.096800080039027,7.654983579384257,6.057393878433047
Beja,33.69117463745001,10.603763803527166,1.477806641208652,12.600042306704614,6.49502206667892
Castro Verde,14.283503111925334,10.328184461130679,1.494991998964985,10.960090321428673,6.161065566255682
Cuba,25.88513893279714,10.710729292760497,1.508615455494598,14.925277329522494,6.358526952105883
Ferreira do Alentejo,36.44270741590591,10.969963433318709,1.427595515127936,14.056075285773026,6.345127164897455
Mértola,28.20447228521759,10.382119765461809,1.558345360971986,7.970858735411362,6.192736996202512
Moura,30.316182762429236,11.010845828454025,1.710913633954698,11.706944929421079,6.556450396181294
Odemira,17.76277405424134,13.31480646618485,1.70400618791545,9.193731598642726,5.870952683951709
Ourique,8.236261610850912,11.754796258422688,1.666128109816438,8.539800096672952,6.005137792260494
Serpa,40.594846677114184,10.619312744718476,1.54628713283622,11.997851214185657,6.565259549003253
Vidigueira,46.51503851918737,11.091053422240966,1.626168855133547,11.003790712948677,6.645807349796847
Amares,3.233363236957715,15.945733675927473,2.369363305210336,28.30629915693786,5.256398233167964
Barcelos,9.707550735158636,15.522783868282167,2.473739469866536,33.25247972077749,5.292030463932169
Braga,13.089290163409645,15.985053696756905,2.40506190464427,26.476146734072135,5.318758638589979
Guimarães,8.90528852610545,15.973502785442486,2.232924221172596,23.389236562183637,5.216626764230597
Cabeceiras de Basto,4.439810622755411,16.76631544727727,2.12502853547119,22.4706851675314,5.140584344535724
Celorico de Basto,5.557821348257487,16.561554714288125,2.057480963415274,22.183124697907676,5.053483035977326
Esposende,18.32370873560304,15.194103587757457,2.480251634575405,35.97296194876394,5.305342681247119
Fafe,3.200091441408617,16.69128429096805,2.107865983991946,21.57552984214302,4.923223118798735
Póvoa de Lanhoso,3.345427482616023,16.354620749648443,2.288179295049498,22.92365305770773,5.062183853358538
Terras de Bouro,13.374739107186512,16.08346015854744,2.641440178125591,21.702839522262977,5.341902575699399
Vieira do Minho,4.988212856374663,17.089118547685253,2.31547419904825,20.725938338027348,4.994098448920864
Vila Nova de Famalicão,14.624813041709613,15.472407318938973,2.377667387377634,28.718058262278916,5.352699366817131
Vila Verde,5.373813144397507,15.689093103948629,2.374427364748406,29.95585196290773,5.191195999213249
Vizela,12.960128009636351,15.605164882984567,2.390491982723804,24.95460103420501,5.34977262578112
Alfândega da Fé,25.53678162203476,11.610866678695146,1.351062235048892,15.835209203099353,5.999769704299347
Bragança,23.38152178500904,11.918580465962606,1.564058663364507,26.30678559102785,5.759660414206984
Carrazeda de Ansiães,14.272197044533183,13.750339231742284,1.805995524470964,21.98725347990994,5.663200684615854
Freixo de Espada à Cinta,22.432966574955692,12.786778169870377,1.452089856471866,11.734634296706645,6.281071038047473
Macedo de Cavaleiros,17.41247771960391,12.029371055294435,1.492601055968062,16.555638131199544,5.909091085163253
Miranda do Douro,15.302900627432377,10.404951380157076,1.537501244198494,17.491331281985705,6.010983641638728
Mirandela,23.955352829029277,11.491922459316728,1.353427129915963,16.53792492524557,5.862160185283034
Mogadouro,28.50684179193163,11.342339149664257,1.700755150042289,15.641780863513878,6.166370396101771
Torre de Moncorvo,18.79948051959922,12.697870029881418,1.448946870689009,15.22296969164154,6.15156475004259
Vila Flor,24.247687989210878,12.155631101492679,1.396074953376118,17.96267775604219,5.91811705719341
Vimioso,28.168260886876748,10.721415489632346,1.449189409722377,15.326883923336164,6.075711765925752
Vinhais,19.49059279449048,13.266802289551487,1.860054298545276,23.726705491197784,5.642004324454819
Belmonte,9.874297519462019,11.963294019175985,1.552425937184805,29.620306351013827,5.763800839331583
Castelo Branco,7.924532955973818,13.492559349327756,1.458269995958136,11.785399011097473,5.710433982213338
Covilhã,8.391446224998438,15.566330164888479,2.187741391714254,21.62645015239131,5.544041714311517
Fundão,9.696468874021873,14.414611034229003,1.691238935386972,16.941665945236345,5.602867569071051
Idanha-a-Nova,11.85744914673315,11.250074806050879,1.494594224704509,10.516554017919622,5.976639502684106
Oleiros,1.679997733938048,18.916699427391837,1.80467514959144,6.518567459722741,5.20852707690947
Penamacor,4.212329134324182,13.614345231220787,1.697011087625778,10.258539834442573,5.642580145626846
Proença-a-Nova,4.515995349713748,16.626584767690165,1.614894818665866,4.050066079972146,5.380165175132945
Sertã,2.690634069298227,18.794156593921308,1.874679663426636,4.049798249786708,5.152616269619645
Vila de Rei,4.77999451927344,18.865747487386066,1.644582797686259,1.365394583187997,5.204996328353882
Vila Velha de Ródão,14.429591228775392,14.157774640608203,1.478553346839062,6.750853876607825,5.778948787940565
Arganil,6.311049937689043,17.203076741338318,2.388410362912379,15.032482663008881,5.403916810897043
Cantanhede,23.428760240629952,16.58042603738886,0.941187019110808,22.05820412997606,5.521042531566398
Coimbra,41.14380580184393,15.611257405657517,1.725548610336294,19.079053858080634,5.76593082790312
Condeixa-a-Nova,47.940193617903034,16.552280080340164,1.536681122901444,14.808363073374839,5.660949577616429
Figueira da Foz,19.18439325520827,16.518471429854046,0.951733158146501,22.633631943614485,5.582289380630727
Góis,3.839253047319732,17.97611072161364,2.214525559456324,11.86393245855131,5.281108343384897
Lousã,12.681253793569548,16.930412430422646,2.297695744676249,16.094069845043123,5.529350824015481
Mira,5.486356502674058,17.435735510554508,0.694432208829059,20.977489681519582,5.267343971407644
Miranda do Corvo,13.856444383730631,17.656319021939755,2.233717814476075,9.627891148229638,5.489034206451539
Montemor-o-Velho,22.662974697281477,14.961420203572478,1.201749139299709,29.04807479447423,5.678813074965503
Oliveira do Hospital,2.425168759776749,16.52833341194915,2.114340226773161,17.341519290343264,5.149776393693704
Pampilhosa da Serra,3.825479732954082,17.89624169598455,1.982570181341123,12.516671887644783,5.238478657534666
Penacova,4.204377926824579,17.304447016626035,2.220443970189904,11.172719507205809,5.186982224010071
Penela,22.750645294618696,16.99550345228679,2.047555203424461,13.505783058925351,5.605316044679329
Soure,30.61853545605267,16.55376370074774,1.294145981661968,17.075552570141486,5.581989229585943
Tábua,2.574411504303238,16.79474061849166,2.05645867421919,15.865622735031101,5.064298196714752
Vila Nova de Poiares,5.669527368992567,17.23092575073242,2.205251169565952,10.801461891694503,5.298428578810259
Albufeira,165.19490502162455,11.289977261541484,1.389563234058151,17.195357447046277,7.103976906352374
Alcoutim,21.04909355632444,10.973626889826813,1.577933781283163,5.962971716691547,6.154314080596248
Tavira,59.53049464246647,12.299450123273559,1.711919500038743,8.727568474629622,6.226585971201039
Aljezur,19.26775202561857,14.38647529499359,1.801617795337502,6.823748274429783,6.114131013080419
Castro Marim,51.335184241212076,11.318719465467664,1.532365576532152,7.330384673595429,6.234480069478352
Faro,174.95511383019138,12.029737749604887,1.413633740732796,18.04586718371362,7.267270690556705
Lagoa,135.61872243456742,11.07650223400897,1.46865459860963,17.797179554619493,7.012292158709789
Lagos,76.54057265115217,13.14266266300816,2.021117855921883,10.55862061678905,6.628111485039029
Loulé,104.4748899794873,12.877561652596961,1.693386538509042,8.553242300681806,6.499692821280753
Monchique,32.19545985465073,14.956517625544999,2.091560104997212,8.188493616670561,5.6811452212441
Olhão,168.96115471404974,11.56169020365083,1.406788862516082,19.694559108050022,7.205981981725987
