Municipality,av_d_mean_t_average_munic,days_mean_t_over_20_average_munic,days_mean_t_over_25_average_munic,av_d_max_t_average_munic,days_max_t_over_30_average_munic,av_d_min_t_average_munic,days_min_t_under_0_average_munic,av_prec_sum_average_munic,days_no_prec_average_munic,cons_days_no_prec_average_munic
Abrantes,16.596448084513348,116.61111111111113,26.902777777777775,66.53472222222223,66.53472222222223,11.317640262179905,0.9375000000000001,685.084721713596,289.6527777777778,68.95138888888889
Aguiar da Beira,13.713491838243273,76.15277777777779,14.09722222222222,48.44444444444445,48.44444444444445,8.01495032840305,24.04166666666667,718.1014109293623,283.47222222222223,54.833333333333336
Alandroal,17.106057408650717,132.42361111111111,47.520833333333336,96.56250000000001,96.56250000000001,10.789864709642197,5.256944444444444,524.2319446139865,298.4583333333333,77.16666666666667
Albergaria-a-Velha,15.510947748819985,84.125,11.9375,35.395833333333336,35.395833333333336,10.264881362915037,4.958333333333333,1010.2333216349283,269.6041666666667,51.958333333333336
Albufeira,17.700788078697638,133.11120104254255,27.460014986114572,51.9938840640354,51.9938840640354,13.270922501253558,0.0,539.0826187175314,303.8692427368596,86.77747338881993
Alcanena,16.094898486233316,99.46598270787035,15.929920050768517,41.00305150426873,41.00305150426873,11.600686241799307,0.4962311177911259,800.9306292862325,282.9903704859277,64.96212528880645
Alcobaça,16.22875181070964,97.53333333333336,13.791666666666664,32.883333333333326,32.883333333333326,12.052982452392577,0.25833333333333336,848.8549959309897,280.04999999999995,62.35833333333334
Alcochete,17.298373107910155,124.125,24.25,44.895833333333336,44.895833333333336,13.448830261230468,0.08333333333333333,736.120778910319,282.125,57.645833333333336
Alcoutim,17.34223743014865,131.06944444444449,33.77777777777778,71.73611111111111,71.73611111111111,11.978659193250868,0.47222222222222227,532.2499988132054,303.4444444444445,85.09722222222224
Alcácer do Sal,17.40068311642378,130.2820512820513,31.349358974358974,68.24038461538461,68.24038461538461,12.653640551444811,0.08974358974358974,626.7304435534355,294.4679487179487,76.00961538461539
Alenquer,16.46608820597331,103.39583333333333,15.604166666666666,33.208333333333336,33.208333333333336,12.699475428263348,0.08333333333333333,795.8187494913736,281.375,57.0625
Alfândega da Fé,14.577450612386066,96.32291666666667,27.75,65.60416666666667,65.60416666666667,8.472696838378907,27.9375,543.5041478474934,289.1979166666667,58.385416666666664
Alijó,13.913019578721793,81.47222222222223,16.75,55.18055555555555,55.18055555555555,8.039170515272351,28.18055555555556,620.6291632758247,285.61111111111114,54.55555555555555
Aljezur,17.321750742594404,121.6875,19.729166666666668,41.229166666666664,41.229166666666664,13.317353541056319,0.020833333333333332,594.2624969482423,301.2708333333333,84.5
Aljustrel,17.354968694051106,129.69791666666666,32.229166666666664,75.57291666666667,75.57291666666667,12.242103157043458,0.041666666666666664,583.184363301595,296.21875,77.82291666666667
Almada,17.19832858219584,119.5786044450822,20.27532347851043,35.854944540003665,35.854944540003665,13.829103930426669,0.041666666666666664,775.683584506618,281.1081170851007,55.92720111582397
Almeida,14.053502778552826,89.91071428571426,21.69047619047619,58.91071428571427,58.91071428571427,8.193559174310593,29.261904761904763,567.5255860101607,291.73809523809524,60.125
Almeirim,16.896804690890843,119.09722222222221,23.972222222222218,55.055555555555564,55.055555555555564,12.266759490966793,0.18055555555555558,715.979167344835,286.31944444444446,67.40277777777777
Almodôvar,16.764544773808232,115.65277777777779,22.7962962962963,57.324074074074076,57.324074074074076,11.91091752794054,0.19907407407407404,573.148144700792,300.425925925926,82.86574074074075
Alpiarça,16.908821188057413,118.93745468908783,23.57469735259207,54.210434250439675,54.210434250439675,12.267776191955692,0.1895728802935773,723.9885658373428,286.1737964820956,66.3548724982259
Alter do Chão,16.62433504740397,120.92708333333333,35.5,80.83333333333333,80.83333333333333,10.870931688944497,3.09375,602.5197939554849,294.4791666666667,72.27083333333333
Alvaiázere,15.752521938747831,95.18055555555559,15.444444444444448,44.888888888888886,44.888888888888886,10.803669052124024,1.6666666666666667,812.8041819254557,282.63888888888886,63.55555555555555
Alvito,17.211357270927806,129.49384074022274,35.58616519644667,84.068228393312,84.068228393312,11.66353572407071,0.510802636173856,580.9549816131681,295.58149513003235,76.89591331531797
Amadora,16.74689644554397,107.8858151781102,16.503400648787228,30.08907541242485,30.08907541242485,13.492856378547685,0.08333333333333333,806.5439258587784,280.70850058018954,55.75
Amarante,13.844334716796878,63.097222222222236,8.61111111111111,39.48611111111112,39.48611111111112,8.604833484225802,19.083333333333336,948.8638800726998,274.15277777777777,50.083333333333336
Amares,14.805278090625364,70.18870995416434,6.949513742922992,32.54709594500125,32.54709594500125,9.434096430948882,11.031180225416442,1300.4807991697533,253.1301396575112,39.251501031664986
Anadia,15.771244676378037,90.22222222222223,14.500000000000002,39.59722222222222,39.59722222222222,10.555912780761718,3.9166666666666674,947.5083218044703,273.1805555555556,54.375
Ansião,15.554473244564264,90.51209439770302,13.737849167934298,41.60496814567288,41.60496814567288,10.613407558710842,2.149986111455174,850.2898013893337,280.62087837170725,61.595936913875526
Arcos de Valdevez,13.505333048502608,49.06666666666666,3.7249999999999996,20.63333333333333,20.63333333333333,8.483194671630859,17.749999999999996,1444.8449491373694,243.75000000000003,34.349999999999994
Arganil,14.720102115207249,83.61111111111111,13.777777777777779,47.66666666666668,47.66666666666668,9.316941172281899,10.194444444444445,854.0374691433376,279.48611111111114,56.19444444444445
Armamar,14.128283055623372,80.04166666666667,17.0625,50.9375,50.9375,8.481341552734376,20.666666666666668,703.8999883015953,281.7291666666667,51.333333333333336
Arouca,14.26539655897352,66.125,7.666666666666667,34.16666666666668,34.16666666666668,8.882724880642362,13.305555555555555,1029.4083109537762,271.40277777777777,49.11111111111111
Arraiolos,16.69523515489366,121.18055555555553,33.09722222222222,80.06250000000001,80.06250000000001,11.064386605156793,1.7430555555555556,602.9722037421333,294.6666666666667,74.75694444444444
Arronches,16.543905334472655,123.98958333333333,45.166666666666664,90.51041666666667,90.51041666666667,10.33919532140096,9.885416666666666,525.1322710673013,297.1458333333333,70.14583333333333
Arruda dos Vinhos,16.447976755257375,102.66363379978908,15.31920267153312,31.917855492694375,31.917855492694375,12.851118435910294,0.10091435253205146,796.201121319029,281.21543325359704,56.4576645645863
