Municipality,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alcácer do Sal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016671791875518926,0.01710830591346597,0.011084596697315414,0.009912205172360774,0.0,0.0
Grândola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003036213863848306,0.0025819863226608643,0.000711066210755362,0.0017535747590923221,0.0,0.0
Odemira,0.0,0.001037344398340249,0.0033561142299243347,0.008298755186721992,0.007230900659018795,0.016902611667073467,0.02215035391750061,0.02581156944105443,0.05101293629484989,0.026757383451305832,0.013882108860141566,0.014095679765682207,0.02071637783744203,0.02681840371003173,0.00010525994630217233,0.005417988772272395,0.0024865755430803025,0.004956370515010983,0.0,0.0
Santiago do Cacém,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030063957414690344,0.0031835696976919717,0.0,0.0024001906804910025,0.0,0.0
Sines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alter do Chão,0.0,0.00286122065219597,0.0012513612781471738,0.003050615872672299,0.0038217249846116377,0.0025162507863283707,0.004389910646040625,0.0037811402945095674,0.003950243169934861,0.0027259383518557345,0.0020224703900865136,0.0027394665818897585,0.0031791340579955217,0.003842017329662673,0.012280293538571683,0.011559572817850963,0.002175287870652109,0.004213352425272955,0.0,0.0
Arronches,0.0,0.0028612206521959694,0.0012513612781471736,0.0030506158726722986,0.0038217249846116377,0.00251625078632837,0.004389910646040624,0.003781140294509568,0.003950243169934861,0.0027259383518557358,0.002022470390086513,0.002739466581889758,0.003179134057995522,0.0038420173296626727,0.009531490015360983,0.07134984639016898,0.03623271889400921,0.07285906298003073,0.0,0.0
Avis,0.0,0.0028612206521959694,0.0012513612781471738,0.003050615872672299,0.0038217249846116386,0.0025162507863283707,0.004389910646040626,0.0037811402945095683,0.003950243169934861,0.0027259383518557345,0.002022470390086513,0.002739466581889759,0.003179134057995522,0.0038420173296626735,0.051295852438516046,0.022782409337223843,0.011087953313880784,0.012527615673197165,0.0,0.0
Campo Maior,0.0,0.00286122065219597,0.0012513612781471738,0.003050615872672299,0.003821724984611638,0.0025162507863283707,0.004389910646040627,0.003781140294509568,0.003950243169934864,0.002725938351855735,0.0020224703900865127,0.0027394665818897585,0.003179134057995522,0.0038420173296626735,0.01921953094963475,0.06674740484429066,0.0102960399846213,0.039600153787004995,0.0,0.0
Castelo de Vide,0.0,0.00286122065219597,0.0012513612781471738,0.003050615872672299,0.003821724984611639,0.0025162507863283707,0.004389910646040626,0.003781140294509568,0.003950243169934861,0.002725938351855735,0.0020224703900865136,0.0027394665818897585,0.0031791340579955217,0.0038420173296626735,0.004781197247110765,0.0,0.011150499935073367,0.002101675107128944,0.0,0.0
Crato,0.0,0.00286122065219597,0.0012513612781471738,0.0030506158726722986,0.0038217249846116386,0.0025162507863283703,0.004389910646040626,0.003781140294509568,0.003950243169934861,0.002725938351855735,0.002022470390086513,0.0027394665818897585,0.0031791340579955226,0.0038420173296626735,0.014564251631656887,0.021244995338123185,0.026175067185871773,0.006133384522568969,0.0,0.0
Elvas,0.0,0.003226010500347903,0.0018343981276488076,0.025681573787083307,0.019798848757037132,0.002087418559048643,0.015624011638939844,0.012018470491492189,0.04427857549497122,0.05522170915301411,0.024100196090834334,0.011006388765892846,0.0306154721993801,0.019103042570687585,0.03687456512113353,0.03186412802833829,0.019254222278448984,0.012933771902081094,0.0,0.0
Fronteira,0.0,0.00286122065219597,0.0012513612781471738,0.0030506158726722995,0.0038217249846116377,0.002516250786328371,0.004389910646040625,0.0037811402945095674,0.003950243169934862,0.0027259383518557345,0.002022470390086513,0.002739466581889759,0.003179134057995522,0.003842017329662673,0.02645112325440194,0.025561627200971465,0.019582574377656342,0.020857619914996968,0.0,0.0
Gavião,0.0,0.0028612206521959702,0.0012513612781471738,0.003050615872672299,0.0038217249846116386,0.002516250786328371,0.004389910646040626,0.0037811402945095683,0.0039502431699348604,0.0027259383518557353,0.002022470390086513,0.0027394665818897585,0.003179134057995522,0.003842017329662674,0.0,0.0,0.0,0.07830093312597201,0.0,0.0
Marvão,0.0,0.00286122065219597,0.0012513612781471736,0.0030506158726722995,0.0038217249846116373,0.0025162507863283707,0.004389910646040626,0.003781140294509567,0.0039502431699348604,0.0027259383518557353,0.002022470390086513,0.0027394665818897585,0.0031791340579955226,0.003842017329662673,0.0,0.0,0.0,0.0030422820735592237,0.0,0.0
Monforte,0.0,0.00286122065219597,0.001251361278147174,0.003050615872672299,0.0038217249846116386,0.0025162507863283703,0.004389910646040625,0.003781140294509568,0.003950243169934861,0.002725938351855735,0.002022470390086513,0.002739466581889759,0.0031791340579955226,0.003842017329662674,0.017981739241476183,0.02321351040735538,0.028551909079300216,0.028751755842165747,0.0,0.0
Mora,0.0,0.0006204164744436138,0.0007529840971879756,0.0017923142595037726,0.0022218333571955053,0.0031338986016767154,0.0014317303256391083,0.0040141476166992785,0.006686710891225614,0.007068505644729377,0.0020203305706240756,0.001744589915315803,0.002211227947375957,0.0006840489333609074,0.004908072279649649,0.014737631184407797,0.012075278150398485,0.0007575159788526789,0.0,0.0
Nisa,0.0,0.0028612206521959707,0.0012513612781471736,0.003050615872672299,0.003821724984611638,0.0025162507863283707,0.004389910646040625,0.0037811402945095683,0.003950243169934861,0.002725938351855735,0.002022470390086513,0.0027394665818897585,0.003179134057995522,0.0038420173296626735,0.0035852406010270714,0.01082926520002536,0.011534267419007165,0.0025353452101692766,0.0,0.0
Ponte de Sor,0.0,0.0019610801025795746,0.0003922160205159149,0.008598581988233519,0.007633127168502036,0.0060944335495549855,0.01879619852164731,0.009533866344848393,0.02808870116156283,0.030019610801025796,0.01635239100920199,0.006999547443053251,0.028450746718962135,0.0019309096394629658,0.0023502790767838287,0.0037589379996982955,0.0034116759692261276,0.0026604314376225675,0.0,0.0
Portalegre,0.0,0.00286122065219597,0.0012513612781471738,0.003050615872672299,0.003821724984611638,0.0025162507863283707,0.004389910646040626,0.0037811402945095674,0.003950243169934861,0.0027259383518557353,0.002022470390086513,0.0027394665818897585,0.0031791340579955217,0.0038420173296626735,0.009545917213300158,0.01763684686722461,0.011861004297670211,0.010394141596923773,0.0,0.0
Alandroal,0.0,0.0006204164744436137,0.0007529840971879757,0.001792314259503773,0.0022218333571955053,0.0031338986016767145,0.0014317303256391085,0.0040141476166992785,0.006686710891225615,0.007068505644729377,0.002020330570624075,0.001744589915315803,0.0022112279473759564,0.0006840489333609074,0.016271159626641354,0.04406423034330011,0.013269261192849232,0.07395269735801298,0.0,0.0
Arraiolos,0.0,0.0006204164744436135,0.0007529840971879754,0.0017923142595037724,0.0022218333571955057,0.0031338986016767154,0.0014317303256391083,0.0040141476166992785,0.0066867108912256135,0.007068505644729375,0.002020330570624075,0.0017445899153158025,0.002211227947375957,0.0006840489333609074,0.01523584441161989,0.03834515017232889,0.02178581979320532,0.04440275726243229,0.0,0.0
Borba,0.0,0.0006204164744436137,0.0007529840971879756,0.0017923142595037724,0.0022218333571955053,0.003133898601676715,0.0014317303256391085,0.0040141476166992785,0.0066867108912256135,0.007068505644729376,0.0020203305706240756,0.001744589915315802,0.002211227947375956,0.0006840489333609074,0.0,0.0,0.040138297872340425,0.023382978723404255,0.0,0.0
Estremoz,0.0,0.018514831773840335,0.020439312495852412,0.0300617161059128,0.03503882142146128,0.01758577211493795,0.016192182626584378,0.017851217731767205,0.03789236180237574,0.030858052956400556,0.022098347601035236,0.014798593138230806,0.019642975645364658,0.015329484371889308,0.011566129139292588,0.015182162054549074,0.010743911341163979,0.02510916450992103,0.0,0.0
Évora,0.0,0.0006204164744436138,0.0007529840971879756,0.001792314259503773,0.0022218333571955066,0.0031338986016767154,0.0014317303256391085,0.004014147616699279,0.006686710891225615,0.007068505644729378,0.0020203305706240756,0.0017445899153158027,0.002211227947375957,0.0006840489333609075,0.02944565536320577,0.02746699082030431,0.021255606320995934,0.03688225677998071,0.0,0.0
Montemor-o-Novo,0.0,0.005054860811652532,0.007067222461789085,0.011379425997795985,0.00860045038570265,0.009702457956015523,0.007929663168990466,0.015284365866513343,0.021345407503234153,0.06041876287671889,0.04166067749508888,0.0474342388960759,0.038234871352594506,0.016793637104115758,0.01725480331560538,0.03342412917445259,0.021465430501653015,0.04337166403143116,0.0,0.0
Mourão,0.0,0.0006204164744436137,0.0007529840971879758,0.001792314259503773,0.0022218333571955057,0.003133898601676715,0.001431730325639108,0.0040141476166992785,0.006686710891225614,0.007068505644729377,0.002020330570624075,0.0017445899153158023,0.002211227947375957,0.0006840489333609075,0.00803146100764265,0.006632039771462491,0.0,0.00589003487423017,0.0,0.0
Portel,0.0,0.0006204164744436133,0.0007529840971879755,0.0017923142595037726,0.0022218333571955053,0.0031338986016767154,0.0014317303256391083,0.004014147616699278,0.006686710891225615,0.007068505644729377,0.002020330570624075,0.0017445899153158025,0.002211227947375956,0.0006840489333609075,0.011292949031102426,0.012399039244422733,0.010225126200944472,0.002156814851001466,0.0,0.0
Redondo,0.0,0.0006204164744436139,0.0007529840971879756,0.001792314259503773,0.0022218333571955053,0.003133898601676716,0.0014317303256391085,0.0040141476166992785,0.006686710891225614,0.007068505644729377,0.0020203305706240748,0.0017445899153158027,0.002211227947375957,0.0006840489333609075,0.01946242310778283,0.022114647410180977,0.008997058036908265,0.014861371133101544,0.0,0.0
Reguengos de Monsaraz,0.0,0.0006204164744436137,0.0007529840971879756,0.0017923142595037734,0.002221833357195505,0.0031338986016767154,0.001431730325639109,0.004014147616699278,0.006686710891225613,0.007068505644729377,0.0020203305706240748,0.001744589915315803,0.0022112279473759564,0.0006840489333609074,0.0,0.0018397982466674674,0.005640686922060766,0.016800768584123934,0.0,0.0
Sousel,0.0,0.0028612206521959694,0.0012513612781471736,0.0030506158726722977,0.0038217249846116373,0.0025162507863283694,0.004389910646040624,0.0037811402945095683,0.003950243169934862,0.0027259383518557353,0.002022470390086513,0.0027394665818897585,0.0031791340579955226,0.0038420173296626727,0.03419250523112041,0.02190032337835267,0.0191401940270116,0.03161308731215522,0.0,0.0
Vendas Novas,0.0,0.0006204164744436137,0.0007529840971879756,0.001792314259503773,0.0022218333571955053,0.003133898601676716,0.0014317303256391088,0.0040141476166992785,0.006686710891225614,0.007068505644729377,0.002020330570624075,0.001744589915315803,0.002211227947375957,0.0006840489333609074,0.0007895148669796557,0.0,0.0,0.0,0.0,0.0
Viana do Alentejo,0.0,0.0006204164744436135,0.0007529840971879753,0.0017923142595037728,0.0022218333571955053,0.0031338986016767145,0.0014317303256391088,0.004014147616699278,0.0066867108912256135,0.007068505644729374,0.002020330570624075,0.0017445899153158025,0.0022112279473759564,0.0006840489333609073,0.014427062574730967,0.013752989238740538,0.002945396572339577,0.011050219210840973,0.0,0.0
Vila Viçosa,0.0,0.0006204164744436137,0.0007529840971879757,0.001792314259503773,0.0022218333571955057,0.003133898601676716,0.0014317303256391088,0.0040141476166992785,0.006686710891225614,0.007068505644729377,0.002020330570624075,0.0017445899153158027,0.0022112279473759564,0.0006840489333609075,0.0,0.0030592190328419962,0.0,0.0034548745797776054,0.0,0.0
Aljustrel,0.0,8.741736327378027e-05,0.00044255040157351256,0.0008632464623285801,0.0020488444517292245,0.0026061301425995744,0.00215811615582145,0.0038026553024094415,0.007971370813527837,0.009058624269245478,0.003911927006501666,0.004458285526962793,0.005337922744905209,0.0007375840026225209,0.0,0.041226864093072454,0.0,0.0,0.0,0.0
Almodôvar,0.0,8.741736327378026e-05,0.00044255040157351256,0.0008632464623285798,0.002048844451729225,0.0026061301425995744,0.00215811615582145,0.003802655302409441,0.007971370813527837,0.009058624269245481,0.003911927006501666,0.004458285526962793,0.005337922744905207,0.0007375840026225209,0.0,0.0,0.0,0.0,0.0,0.0
Alvito,0.0,8.741736327378026e-05,0.0004425504015735126,0.0008632464623285801,0.0020488444517292254,0.002606130142599574,0.00215811615582145,0.003802655302409441,0.007971370813527837,0.00905862426924548,0.0039119270065016655,0.004458285526962792,0.005337922744905206,0.0007375840026225209,0.015334648906429863,0.0466518664693307,0.015385627363920408,0.014658773228087486,0.0,0.0
Barrancos,0.0,8.741736327378026e-05,0.00044255040157351256,0.0008632464623285803,0.0020488444517292245,0.002606130142599574,0.00215811615582145,0.0038026553024094415,0.007971370813527837,0.009058624269245476,0.003911927006501666,0.004458285526962792,0.005337922744905207,0.0007375840026225209,0.0037399951491632307,0.0010647586708707251,0.0,0.0015522677661896677,0.0,0.0
Beja,0.0,8.741736327378025e-05,0.00044255040157351256,0.0008632464623285802,0.002048844451729224,0.0026061301425995735,0.00215811615582145,0.003802655302409441,0.007971370813527836,0.009058624269245481,0.003911927006501666,0.004458285526962793,0.005337922744905207,0.0007375840026225208,0.020187936578334627,0.044407916620467905,0.007554052555715711,0.01989577558487637,0.0,0.0
Castro Verde,0.0,8.741736327378025e-05,0.0004425504015735126,0.00086324646232858,0.0020488444517292254,0.002606130142599573,0.0021581161558214498,0.00380265530240944,0.007971370813527836,0.00905862426924548,0.003911927006501666,0.004458285526962793,0.005337922744905207,0.0007375840026225208,0.012286423254165188,0.021281460475008864,0.0,0.008637008153137185,0.0,0.0
Cuba,0.0,8.741736327378026e-05,0.00044255040157351267,0.0008632464623285802,0.0020488444517292245,0.002606130142599574,0.00215811615582145,0.003802655302409441,0.007971370813527839,0.009058624269245478,0.0039119270065016655,0.004458285526962795,0.005337922744905206,0.0007375840026225209,0.0,0.0,0.0,0.0,0.0,0.0
Ferreira do Alentejo,0.0,0.007764609726195341,0.013690232938291786,0.01726604004903964,0.0002043318348998774,0.0016346546791990192,0.017776869636289334,0.03729055986922763,0.016244380874540252,0.023089497343686146,0.02462198610543523,0.016959542296689823,0.046587658357172046,0.048835308541070696,0.0270024519820188,0.03706375153248876,0.013167143440948098,0.029456477319166327,0.0,0.0
Mértola,0.0,8.741736327378026e-05,0.00044255040157351245,0.0008632464623285798,0.0020488444517292245,0.0026061301425995735,0.0021581161558214498,0.0038026553024094398,0.007971370813527837,0.009058624269245478,0.003911927006501666,0.004458285526962792,0.005337922744905207,0.0007375840026225208,0.00022816747607689878,0.0016885542688008278,0.00832150349147964,0.0008824966234661916,0.0,0.0
Moura,0.0,8.741736327378026e-05,0.0004425504015735124,0.0008632464623285801,0.0020488444517292245,0.0026061301425995735,0.0021581161558214498,0.003802655302409441,0.007971370813527839,0.00905862426924548,0.003911927006501666,0.004458285526962792,0.005337922744905206,0.0007375840026225208,0.013411193861430824,0.025697735650342283,0.007934627247423456,0.006466937485894832,0.0,0.0
Ourique,0.0,8.741736327378025e-05,0.00044255040157351267,0.0008632464623285798,0.0020488444517292245,0.0026061301425995735,0.00215811615582145,0.003802655302409441,0.007971370813527836,0.009058624269245481,0.003911927006501667,0.004458285526962791,0.005337922744905205,0.000737584002622521,0.0010647284904296206,0.0011058259446706496,0.0,0.0037847711100117967,0.0,0.0
Serpa,0.0,8.741736327378029e-05,0.00044255040157351256,0.0008632464623285802,0.002048844451729225,0.002606130142599574,0.0021581161558214506,0.0038026553024094415,0.007971370813527839,0.009058624269245481,0.003911927006501666,0.004458285526962793,0.005337922744905209,0.000737584002622521,0.02471969887076537,0.030207277289836888,0.01239749058971142,0.00728883312421581,0.0,0.0
Vidigueira,0.0,8.741736327378026e-05,0.0004425504015735125,0.00086324646232858,0.0020488444517292245,0.0026061301425995735,0.00215811615582145,0.0038026553024094415,0.007971370813527837,0.00905862426924548,0.003911927006501666,0.004458285526962793,0.005337922744905207,0.0007375840026225209,0.0,0.0,0.0,0.008186818999259495,0.0,0.0
Mação,0.0,0.0013211222821827625,0.000515013771020399,0.002642244564365526,0.000559797577196086,0.0013211222821827625,0.0027765959828925857,0.0003134866432298081,0.001030027542040798,0.008979153138225218,0.007904341790008734,0.007411719922076177,0.0009180680266015809,0.0020824469871694395,0.0,0.0,0.0,0.0,0.0,0.0
Oleiros,0.0,0.0004162900233122413,0.001165612065274276,0.001129930063276084,0.001510538084590133,0.0018078881012417339,0.002699938151196537,0.004365098244445502,0.008004662448261098,0.009979066558827727,0.009705504543508254,0.006137304343689044,0.0063870783576763885,0.006280032351681812,0.0,0.0,0.0,0.0,0.0,0.0
Proença-a-Nova,0.0,0.0004162900233122414,0.0011656120652742757,0.0011299300632760835,0.0015105380845901331,0.0018078881012417334,0.002699938151196536,0.004365098244445501,0.008004662448261098,0.009979066558827727,0.009705504543508254,0.006137304343689043,0.006387078357676389,0.006280032351681813,0.0,0.0,0.0,0.0,0.0,0.0
Sertã,0.0,0.0004162900233122413,0.0011656120652742755,0.0011299300632760837,0.0015105380845901327,0.0018078881012417339,0.0026999381511965364,0.004365098244445502,0.008004662448261096,0.009979066558827725,0.009705504543508254,0.006137304343689044,0.006387078357676389,0.006280032351681813,0.0,0.0,0.0,0.0,0.0,0.0
Vila de Rei,0.0,0.00041629002331224145,0.0011656120652742757,0.0011299300632760835,0.0015105380845901325,0.0018078881012417336,0.0026999381511965364,0.0043650982444455024,0.008004662448261098,0.009979066558827725,0.009705504543508254,0.006137304343689043,0.0063870783576763885,0.006280032351681811,0.0,0.0,0.0,0.0,0.0,0.0
Fornos de Algodres,0.0,0.00019873252809857127,0.0008059708083997616,0.0014904939607392844,0.001413209088700952,0.0003864243601916665,0.000176651136087619,0.001015744032503809,0.0011040696005476186,0.0015677788327776183,0.001192395168591428,0.0013138428246516661,0.0014794532647338084,0.0024620752092211888,0.0,0.0,0.0,0.0,0.0,0.0
Gouveia,0.0,0.00019873252809857132,0.0008059708083997618,0.001490493960739285,0.0014132090887009519,0.0003864243601916665,0.00017665113608761898,0.001015744032503809,0.0011040696005476189,0.0015677788327776183,0.001192395168591428,0.001313842824651666,0.001479453264733809,0.0024620752092211896,0.0,0.0,0.0,0.0,0.0,0.0
Seia,0.0,0.00019873252809857135,0.0008059708083997614,0.001490493960739285,0.001413209088700952,0.0003864243601916665,0.00017665113608761898,0.0010157440325038087,0.001104069600547618,0.001567778832777618,0.0011923951685914283,0.0013138428246516661,0.0014794532647338086,0.0024620752092211888,0.0,0.0,0.0,0.0,0.0,0.0
Almeida,0.0,0.00019873252809857135,0.0008059708083997618,0.0014904939607392846,0.0014132090887009517,0.00038642436019166644,0.00017665113608761898,0.001015744032503809,0.0011040696005476184,0.0015677788327776185,0.0011923951685914279,0.0013138428246516664,0.001479453264733809,0.002462075209221189,0.0009805898663977817,0.0015086967481724224,0.0,0.0,0.0,0.0
Celorico da Beira,0.0,0.00019873252809857132,0.0008059708083997613,0.001490493960739285,0.0014132090887009517,0.0003864243601916665,0.00017665113608761896,0.001015744032503809,0.0011040696005476184,0.0015677788327776183,0.001192395168591428,0.001313842824651666,0.0014794532647338088,0.0024620752092211896,0.0,0.0,0.0,0.0,0.0,0.0
Figueira de Castelo Rodrigo,0.0,0.00019873252809857138,0.0008059708083997616,0.0014904939607392855,0.0014132090887009514,0.00038642436019166654,0.00017665113608761893,0.001015744032503809,0.0011040696005476186,0.0015677788327776185,0.001192395168591428,0.0013138428246516661,0.0014794532647338088,0.0024620752092211896,0.0,0.0,0.0,0.0,0.0,0.0
Guarda,0.0,0.00019873252809857132,0.0008059708083997614,0.0014904939607392849,0.0014132090887009514,0.0003864243601916665,0.00017665113608761896,0.001015744032503809,0.0011040696005476186,0.0015677788327776187,0.0011923951685914283,0.0013138428246516664,0.001479453264733809,0.0024620752092211896,0.003072874493927126,0.0011449392712550607,0.0014226720647773279,0.0022380566801619432,0.0,0.0
Manteigas,0.0,0.00019873252809857135,0.0008059708083997616,0.001490493960739285,0.0014132090887009517,0.0003864243601916665,0.000176651136087619,0.0010157440325038092,0.0011040696005476184,0.0015677788327776185,0.001192395168591428,0.0013138428246516666,0.0014794532647338088,0.00246207520922119,0.0,0.0,0.0,0.0,0.0,0.0
Meda,0.0,0.00019873252809857135,0.0008059708083997614,0.001490493960739285,0.0014132090887009517,0.0003864243601916665,0.00017665113608761898,0.001015744032503809,0.0011040696005476184,0.0015677788327776185,0.0011923951685914279,0.001313842824651666,0.001479453264733809,0.002462075209221189,0.0,0.0,0.0,0.0,0.0,0.0
Pinhel,0.0,0.00019873252809857138,0.0008059708083997617,0.0014904939607392846,0.001413209088700952,0.0003864243601916665,0.00017665113608761896,0.0010157440325038096,0.0011040696005476182,0.001567778832777618,0.0011923951685914279,0.0013138428246516664,0.0014794532647338086,0.0024620752092211896,0.0003193475483934362,0.0,0.0,0.0,0.0,0.0
Sabugal,0.0,0.00019873252809857132,0.0008059708083997613,0.001490493960739285,0.0014132090887009514,0.0003864243601916665,0.00017665113608761896,0.0010157440325038092,0.0011040696005476184,0.001567778832777618,0.0011923951685914283,0.001313842824651666,0.0014794532647338088,0.002462075209221189,0.001296582138919515,0.001697353914002205,0.0006345093715545755,0.0015937155457552373,0.0,0.0
Trancoso,0.0,0.0001987325280985714,0.0008059708083997616,0.0014904939607392849,0.0014132090887009517,0.0003864243601916665,0.00017665113608761896,0.001015744032503809,0.0011040696005476186,0.0015677788327776183,0.0011923951685914279,0.001313842824651666,0.0014794532647338088,0.0024620752092211896,0.0,0.0,0.0,0.0,0.0,0.0
Castelo Branco,0.0,0.00041629002331224134,0.0011656120652742757,0.0011299300632760835,0.0015105380845901325,0.0018078881012417339,0.0026999381511965364,0.004365098244445502,0.008004662448261094,0.009979066558827729,0.009705504543508256,0.006137304343689044,0.006387078357676391,0.006280032351681813,0.015570878481239366,0.005955046118026328,0.003442733052744695,0.009402256649055252,0.0,0.0
Idanha-a-Nova,0.0,0.00041629002331224134,0.0011656120652742757,0.0011299300632760837,0.001510538084590133,0.0018078881012417336,0.0026999381511965364,0.0043650982444455024,0.008004662448261098,0.009979066558827727,0.009705504543508256,0.006137304343689044,0.0063870783576763885,0.006280032351681812,0.019186088128171117,0.007465420324638414,0.011352449525253166,0.020965072948904186,0.0,0.0
Penamacor,0.0,0.0004162900233122412,0.0011656120652742755,0.0011299300632760835,0.0015105380845901327,0.0018078881012417336,0.002699938151196537,0.004365098244445502,0.008004662448261098,0.009979066558827727,0.009705504543508253,0.006137304343689042,0.006387078357676388,0.006280032351681812,0.0,0.011821974965229486,0.0020882177627657462,0.0034929465527518376,0.0,0.0
Vila Velha de Ródão,0.0,0.00041629002331224134,0.0011656120652742755,0.0011299300632760835,0.001510538084590133,0.0018078881012417334,0.0026999381511965364,0.004365098244445502,0.008004662448261096,0.009979066558827725,0.009705504543508254,0.006137304343689042,0.006387078357676388,0.006280032351681812,0.0,0.006657534246575341,0.0,0.0,0.0,0.0
Belmonte,0.0,0.0004162900233122413,0.0011656120652742755,0.001129930063276084,0.0015105380845901327,0.001807888101241734,0.0026999381511965364,0.004365098244445502,0.008004662448261096,0.009979066558827724,0.009705504543508254,0.006137304343689043,0.006387078357676388,0.006280032351681812,0.0,0.0,0.0034473909324208725,0.015697177074422586,0.0,0.0
Covilhã,0.0,0.00041629002331224134,0.0011656120652742757,0.0011299300632760835,0.0015105380845901327,0.0018078881012417336,0.0026999381511965364,0.0043650982444455,0.008004662448261096,0.009979066558827727,0.009705504543508256,0.006137304343689042,0.006387078357676386,0.006280032351681811,0.003815126050420168,0.006936974789915967,0.0,0.0,0.0,0.0
Fundão,0.0,0.00041629002331224123,0.0011656120652742757,0.0011299300632760835,0.0015105380845901327,0.0018078881012417334,0.0026999381511965377,0.004365098244445501,0.008004662448261098,0.009979066558827727,0.009705504543508254,0.006137304343689043,0.006387078357676388,0.006280032351681811,0.02239422084623323,0.04646800825593395,0.008152734778121775,0.0,0.0,0.0
Águeda,0.0,0.0,0.001504136375031336,0.0012534469791927805,0.0,0.0007520681875156681,0.0,0.002506893958385561,0.007520681875156681,0.009275507646026573,0.00877412885434946,0.009024818250188017,0.03459513662572074,0.012534469791927804,0.0,0.0,0.0,0.0,0.0,0.0
Albergaria-a-Velha,0.0,0.0,0.0015041363750313362,0.0012534469791927803,0.0,0.0007520681875156682,0.0,0.0025068939583855598,0.007520681875156681,0.009275507646026575,0.008774128854349464,0.009024818250188017,0.03459513662572074,0.012534469791927802,0.0,0.0,0.0,0.0,0.0,0.0
Anadia,0.0,0.0,0.001504136375031336,0.0012534469791927799,0.0,0.0007520681875156681,0.0,0.0025068939583855598,0.007520681875156681,0.009275507646026573,0.008774128854349462,0.009024818250188017,0.034595136625720724,0.0125344697919278,0.0,0.0,0.0,0.0,0.0,0.0
Aveiro,0.0,0.0,0.0015041363750313362,0.00125344697919278,0.0,0.0007520681875156681,0.0,0.0025068939583855593,0.007520681875156681,0.009275507646026573,0.008774128854349462,0.009024818250188018,0.034595136625720745,0.012534469791927799,0.0,0.0,0.0,0.0,0.0,0.0
Estarreja,0.0,0.0,0.001504136375031336,0.00125344697919278,0.0,0.0007520681875156682,0.0,0.0025068939583855593,0.007520681875156681,0.009275507646026573,0.00877412885434946,0.009024818250188017,0.03459513662572074,0.0125344697919278,0.0,0.0,0.0,0.0,0.0,0.0
Ílhavo,0.0,0.0,0.0015041363750313362,0.0012534469791927803,0.0,0.0007520681875156683,0.0,0.0025068939583855606,0.00752068187515668,0.009275507646026573,0.00877412885434946,0.009024818250188017,0.03459513662572073,0.012534469791927802,0.0,0.0,0.0,0.0,0.0,0.0
Mealhada,0.0,0.0,0.001504136375031336,0.0012534469791927799,0.0,0.000752068187515668,0.0,0.002506893958385561,0.007520681875156681,0.009275507646026577,0.008774128854349462,0.009024818250188015,0.03459513662572073,0.0125344697919278,0.0,0.0,0.0,0.0,0.0,0.0
Murtosa,0.0,0.0,0.0015041363750313364,0.00125344697919278,0.0,0.0007520681875156681,0.0,0.00250689395838556,0.007520681875156681,0.009275507646026573,0.008774128854349462,0.009024818250188017,0.03459513662572074,0.0125344697919278,0.0,0.0,0.0,0.0,0.0,0.0
Oliveira do Bairro,0.0,0.0,0.0015041363750313364,0.0012534469791927805,0.0,0.0007520681875156681,0.0,0.00250689395838556,0.007520681875156681,0.009275507646026577,0.008774128854349464,0.009024818250188017,0.03459513662572073,0.012534469791927804,0.0,0.0,0.0,0.0,0.0,0.0
Ovar,0.0,0.0,0.001504136375031336,0.00125344697919278,0.0,0.000752068187515668,0.0,0.0025068939583855606,0.00752068187515668,0.009275507646026573,0.00877412885434946,0.00902481825018802,0.03459513662572074,0.012534469791927799,0.0,0.0,0.0,0.0,0.0,0.0
Sever do Vouga,0.0,0.0,0.001504136375031336,0.00125344697919278,0.0,0.0007520681875156681,0.0,0.00250689395838556,0.00752068187515668,0.009275507646026571,0.00877412885434946,0.009024818250188017,0.03459513662572073,0.0125344697919278,0.0,0.0,0.0,0.0,0.0,0.0
Vagos,0.0,0.0,0.001504136375031336,0.00125344697919278,0.0,0.0007520681875156682,0.0,0.00250689395838556,0.007520681875156683,0.009275507646026573,0.008774128854349462,0.009024818250188018,0.03459513662572073,0.0125344697919278,0.0,0.0,0.0,0.0,0.0,0.0
