Municipality,Year,av_d_mean_t_pr_y_munic,days_mean_t_over_20_pr_y_munic,days_mean_t_over_25_pr_y_munic,av_d_max_t_pr_y_munic,days_max_t_over_30_pr_y_munic,av_d_min_t_pr_y_munic,days_min_t_under_0_pr_y_munic,av_prec_sum_pr_y_munic,days_no_prec_pr_y_munic,cons_days_no_prec_pr_y_munic
Évora,1995,17.056324838491587,126.84615384615385,32.769230769230774,73.84615384615385,73.84615384615385,11.49779794546274,2.1538461538461537,862.292333984375,262.9230769230769,104.0
Évora,1996,17.11518085186298,95.23076923076924,23.23076923076923,46.69230769230769,46.69230769230769,11.50205838716947,0.0,734.8615121694712,290.9230769230769,68.76923076923077
Évora,1997,17.570320387620193,124.53846153846155,42.07692307692307,82.23076923076924,82.23076923076924,11.990862943209136,0.0,814.8153658353365,276.0769230769231,91.0
Évora,1998,16.878968787560094,127.15384615384615,31.461538461538463,78.07692307692308,78.07692307692308,10.732784142127406,0.3076923076923077,351.4077092097356,316.0,81.0
Évora,1999,16.528504544771636,111.6923076923077,27.69230769230769,69.76923076923077,69.76923076923077,10.910206111027644,0.23076923076923075,609.3692495492788,294.7692307692308,83.0
Évora,2000,17.22001502403846,123.84615384615385,35.92307692307693,79.76923076923077,79.76923076923077,11.621437237079327,0.0,787.6845703125,274.46153846153845,48.0
Évora,2001,16.60858154296875,125.23076923076924,16.307692307692307,82.23076923076924,82.23076923076924,10.871112342247596,0.0,505.3230543870192,308.46153846153845,88.0
Évora,2002,17.34434354341947,123.84615384615385,34.38461538461539,78.61538461538461,78.61538461538461,11.813429987980768,3.3846153846153846,578.1153545673077,293.61538461538464,62.38461538461538
Évora,2003,17.0792143366887,130.23076923076923,41.61538461538462,88.6923076923077,88.6923076923077,11.55712890625,0.0,565.776934344952,301.61538461538464,76.61538461538461
Évora,2004,16.42033259465144,137.6923076923077,35.46153846153846,102.84615384615385,102.84615384615385,10.848180213341346,3.6153846153846154,240.03077486478364,328.53846153846155,67.07692307692307
Évora,2005,16.552970252403846,129.6153846153846,35.92307692307693,92.46153846153845,92.46153846153845,11.095572509765624,0.8461538461538461,499.9230618990385,298.84615384615387,51.0
Évora,2006,16.43984600360577,109.61538461538461,21.923076923076923,68.84615384615385,68.84615384615385,11.291780724158654,0.0,655.6153508112981,285.46153846153845,68.0
Évora,2007,16.6901753117488,114.61538461538461,24.846153846153847,74.0,74.0,10.964189453125,0.07692307692307693,514.7307466947116,310.61538461538464,94.0
Évora,2008,16.697626201923075,124.84615384615385,38.30769230769231,87.3076923076923,87.3076923076923,10.822188063401443,2.0,456.6845703125,299.61538461538464,84.0
Évora,2009,17.56084256685697,140.53846153846155,62.84615384615385,98.0,98.0,12.104469745342548,2.9230769230769234,839.5538611778845,277.38461538461536,82.0
Évora,2010,17.29299738957332,140.3076923076923,35.0,74.92307692307692,74.92307692307692,11.766319861778845,0.8461538461538461,740.8538423978365,281.9230769230769,77.53846153846153
Évora,2011,16.88279747596154,146.84615384615384,43.230769230769226,93.3076923076923,93.3076923076923,10.843881929837739,5.384615384615384,407.88461162860574,320.69230769230774,103.0
Évora,2012,16.284005220853363,113.53846153846155,35.46153846153846,89.3076923076923,89.3076923076923,10.83608407827524,0.4615384615384615,587.1845928485577,282.15384615384613,74.0
Évora,2013,16.24462411733774,119.0,15.692307692307693,76.38461538461539,76.38461538461539,10.281162438025842,3.8461538461538463,600.9461613581731,300.53846153846155,62.230769230769226
Évora,2014,16.71679236778846,129.84615384615384,44.38461538461538,92.76923076923076,92.76923076923076,10.682047870342549,7.0,523.3615234375,304.0,78.0
Évora,2015,16.815387714092548,109.6923076923077,47.07692307692307,91.0,91.0,10.698206505408654,0.5384615384615384,649.6000075120193,283.84615384615387,77.46153846153847
Évora,2016,17.286026517427885,135.0,53.84615384615385,109.07692307692308,109.07692307692308,10.533730093149039,7.9230769230769225,492.96150465745194,307.2307692307692,61.46153846153847
Évora,2017,16.460606689453126,121.76923076923076,29.615384615384613,98.76923076923076,98.76923076923076,10.363145939753606,0.4615384615384615,569.1615497295672,293.84615384615387,62.0
Évora,2018,16.66392794095553,130.6923076923077,32.769230769230774,98.3076923076923,98.3076923076923,10.33208730844351,1.4615384615384617,436.5846228966346,303.84615384615387,80.0
Alandroal,1995,17.254497477213544,133.16666666666666,37.166666666666664,88.16666666666666,88.16666666666666,11.36185546875,3.0,752.5333333333333,273.66666666666663,104.0
Alandroal,1996,17.214961547851562,101.33333333333334,27.0,55.66666666666667,55.66666666666667,11.166365966796874,0.0,685.76669921875,293.83333333333337,70.5
Alandroal,1997,17.73237528483073,132.33333333333334,58.33333333333333,91.83333333333334,91.83333333333334,11.782109781901042,0.0,751.3334716796875,276.66666666666663,91.0
Alandroal,1998,16.95222391764323,130.83333333333334,43.0,92.5,92.5,10.282001546223958,11.833333333333332,303.9333455403646,322.0,81.0
Alandroal,1999,16.628780924479166,121.5,37.666666666666664,79.66666666666667,79.66666666666667,10.5010205078125,4.833333333333333,566.1499837239583,295.0,77.16666666666666
Alandroal,2000,17.39800211588542,127.66666666666666,50.16666666666667,93.66666666666666,93.66666666666666,11.355253295898438,0.0,707.3167073567708,276.5,77.16666666666666
Alandroal,2001,16.759432169596355,128.5,28.333333333333336,94.83333333333334,94.83333333333334,10.50374267578125,1.3333333333333335,473.8166422526042,310.0,86.83333333333334
Alandroal,2002,17.51852294921875,138.83333333333334,41.0,88.0,88.0,11.505949300130208,8.0,535.9499837239583,290.83333333333337,61.5
