Municipality,individual_prod_num,individual_prod_autonomous,individual_prod_in_business,educ_cannot_read_write,educ_can_read_write,educ_basic_1st_cycle,educ_basic_2nd_cycle,educ_basic_3rd_cycle,educ_secondary_agr,educ_secondary_not_agr,educ_polyt_or_superior_agr,educ_polyt_or_superior_not_agr,prof_only_practical,prof_short,prof_long,prof_short_and_long,prof_complete,agr_time_partial,agr_time_full,ext_imp_principal,ext_imp_secondary,ext_sit_employer,ext_sit_self_employed,ext_sit_employed_by_others,ext_sit_in_family,pastures_area_munic,pastures_mean_size_munic,land_rented,econ_0_2,econ_2_4,econ_4_8,econ_8_16,econ_16_40,econ_40_100,econ_above_100
Alcácer do Sal,818.0,0.9058679706601467,0.0941320293398533,0.18948655256723718,0.11613691931540342,0.4938875305623472,0.05378973105134474,0.05256723716381418,0.011002444987775062,0.02078239608801956,0.028117359413202935,0.034229828850855744,0.921760391198044,0.008557457212713936,0.02444987775061125,0.006112469437652812,0.039119804400977995,0.7286063569682152,0.2713936430317848,0.32273838630806845,0.017114914425427872,0.040342298288508556,0.11246943765281174,0.18581907090464547,0.0012224938875305623,65038.0,221.9726962457338,0.35118538845652075,0.2310513447432763,0.15770171149144255,0.2665036674816626,0.14792176039119803,0.11491442542787286,0.07090464547677261,0.011002444987775062
Grândola,978.0,0.9713701431492843,0.028629856850715747,0.23210633946830267,0.16666666666666666,0.42535787321063395,0.0541922290388548,0.03783231083844581,0.005112474437627812,0.023517382413087935,0.016359918200409,0.03885480572597137,0.9570552147239264,0.007157464212678937,0.011247443762781187,0.003067484662576687,0.02147239263803681,0.7382413087934561,0.261758691206544,0.26380368098159507,0.03169734151329243,0.03169734151329243,0.08588957055214724,0.1768916155419223,0.0,25736.0,46.877959927140246,0.29314883056328495,0.48466257668711654,0.1656441717791411,0.15439672801635992,0.09202453987730061,0.06850715746421268,0.026584867075664622,0.00408997955010225
Odemira,1878.0,0.9243876464323749,0.07561235356762513,0.34132055378061765,0.18423855165069222,0.3423855165069223,0.042598509052183174,0.0308839190628328,0.0026624068157614484,0.025026624068157616,0.009052183173588925,0.021831735889243878,0.9563365282215123,0.004792332268370607,0.019169329073482427,0.007987220447284345,0.011714589989350373,0.8945686900958466,0.10543130990415335,0.22417465388711394,0.026624068157614485,0.026091586794462194,0.077209797657082,0.14376996805111822,0.001597444089456869,32776.0,35.978046103183324,0.5358888678116472,0.4882854100106496,0.1597444089456869,0.13525026624068157,0.09478168264110756,0.08093716719914804,0.027156549520766772,0.005324813631522897
Santiago do Cacém,1581.0,0.9449715370018975,0.05502846299810247,0.24035420619860848,0.15243516761543327,0.4484503478810879,0.06198608475648324,0.04996837444655281,0.0018975332068311196,0.017077798861480076,0.010752688172043012,0.017077798861480076,0.941808981657179,0.013282732447817837,0.020872865275142316,0.011385199240986717,0.01265022137887413,0.8886780518659076,0.11132194813409235,0.2827324478178368,0.010120177103099304,0.031625553447185324,0.07716635041113219,0.18216318785578747,0.0,25173.0,45.85245901639344,0.47920905284751064,0.4845034788108792,0.14294750158127767,0.13092979127134724,0.10373181530676787,0.08222643896268185,0.03289057558507274,0.007590132827324478
Sines,213.0,0.9436619718309859,0.056338028169014086,0.27230046948356806,0.13145539906103287,0.4647887323943662,0.051643192488262914,0.03286384976525822,0.004694835680751174,0.014084507042253521,0.009389671361502348,0.018779342723004695,0.9483568075117371,0.004694835680751174,0.004694835680751174,0.028169014084507043,0.014084507042253521,0.9765258215962441,0.023474178403755867,0.3474178403755869,0.009389671361502348,0.018779342723004695,0.056338028169014086,0.28169014084507044,0.0,1561.0,70.95454545454545,0.5890321527664436,0.460093896713615,0.17370892018779344,0.1267605633802817,0.08450704225352113,0.107981220657277,0.028169014084507043,0.004694835680751174
Alter do Chão,333.0,0.8828828828828829,0.11711711711711711,0.07807807807807808,0.09009009009009009,0.5495495495495496,0.06606606606606606,0.07207207207207207,0.012012012012012012,0.04804804804804805,0.04504504504504504,0.03903903903903904,0.9099099099099099,0.009009009009009009,0.003003003003003003,0.021021021021021023,0.057057057057057055,0.8858858858858859,0.11411411411411411,0.2822822822822823,0.0,0.03303303303303303,0.036036036036036036,0.21021021021021022,0.0,16761.0,103.46296296296295,0.2635918311025252,0.5075075075075075,0.13513513513513514,0.09309309309309309,0.09309309309309309,0.1021021021021021,0.05405405405405406,0.012012012012012012
Arronches,463.0,0.9222462203023758,0.07775377969762419,0.2267818574514039,0.1490280777537797,0.367170626349892,0.06479481641468683,0.056155507559395246,0.008639308855291577,0.08207343412526998,0.012958963282937365,0.032397408207343416,0.9330453563714903,0.004319654427645789,0.02591792656587473,0.01511879049676026,0.02159827213822894,0.8682505399568035,0.13174946004319654,0.2548596112311015,0.004319654427645789,0.04103671706263499,0.03455723542116631,0.183585313174946,0.0,5208.0,82.66666666666667,0.23699069128643369,0.652267818574514,0.1079913606911447,0.06911447084233262,0.06263498920086392,0.06263498920086392,0.028077753779697623,0.0064794816414686825
Avis,437.0,0.8466819221967964,0.15331807780320367,0.13958810068649885,0.08009153318077804,0.4805491990846682,0.06178489702517163,0.07551487414187644,0.006864988558352402,0.041189931350114416,0.032036613272311214,0.08237986270022883,0.9016018306636155,0.009153318077803204,0.04805491990846682,0.002288329519450801,0.038901601830663615,0.6704805491990846,0.3295194508009153,0.28604118993135014,0.013729977116704805,0.029748283752860413,0.07093821510297482,0.1945080091533181,0.002288329519450801,19192.0,138.07194244604315,0.25197560975609756,0.459954233409611,0.11441647597254005,0.08009153318077804,0.10983981693363844,0.13729977116704806,0.05034324942791762,0.02517162471395881
Campo Maior,651.0,0.8110599078341014,0.1889400921658986,0.16282642089093702,0.09984639016897082,0.47465437788018433,0.07526881720430108,0.06605222734254992,0.004608294930875576,0.03379416282642089,0.03686635944700461,0.04608294930875576,0.9032258064516129,0.019969278033794162,0.019969278033794162,0.015360983102918587,0.041474654377880185,0.7849462365591398,0.21505376344086022,0.3671274961597542,0.0,0.07987711213517665,0.021505376344086023,0.26574500768049153,0.0,2601.0,83.90322580645163,0.20000952426306015,0.6359447004608295,0.13671274961597543,0.08141321044546851,0.05683563748079877,0.04608294930875576,0.02457757296466974,0.010752688172043012
Castelo de Vide,298.0,0.9093959731543624,0.09060402684563758,0.31543624161073824,0.09060402684563758,0.37583892617449666,0.08389261744966443,0.020134228187919462,0.006711409395973154,0.03355704697986577,0.013422818791946308,0.06040268456375839,0.9697986577181208,0.003355704697986577,0.003355704697986577,0.003355704697986577,0.020134228187919462,0.5704697986577181,0.42953020134228187,0.22483221476510068,0.0,0.02348993288590604,0.053691275167785234,0.1476510067114094,0.0,15402.0,101.32894736842104,0.27111696676914065,0.40268456375838924,0.1644295302013423,0.15436241610738255,0.18120805369127516,0.08389261744966443,0.010067114093959731,0.003355704697986577
